name,category,time.z5,time.z6,time.z4,time.z2,time.z3,time.z1,depth,rowSpacing,spacing,frost,sow,germination,maturity
Pumpkin,Vegetable,Oct-Dec,Oct-Dec,Sep-Dec,Sep-Dec,Aug-Mar,Feb-Nov,15-20,100-200,100-150,FT,D,8-16,100-140
Radish,Vegetable,Aug-Jun,Aug-Jun,Jan-Dec,Jan-Dec,Jan-Dec,Jan-Dec,15,20-30,3-7,H,D,5-10,40-60
Rhubarb,Vegetable,Sep-Dec,Sep-Dec,Aug-Jan,Aug-Jan,Jun-Mar,Jun-Sep,10,40-60,40-50,FT,R/D,5-10,100-140
Rockmelon,Vegetable,Oct-Dec,Oct-Dec,Sep-Dec,Sep-Dec,Jul-Jan,Jan-Dec,15,130-160,90-120,H,D,8-16,100-120
Rocket,Vegetable,"Sep-Nov,Feb-Mar","Sep-Nov,Feb-Mar","Aug-Nov,Feb-Mar","Aug-Nov,Feb-Mar",Mar-Oct,,4,30-40,30-40,H,R/D,6-12,30-60
Rosella,Vegetable,Nov-Dec,Nov-Dec,Sep-Dec,Sep-Dec,Sep-Mar,Jan-Dec,10-15,90-100,40-50,FT,R,10-20,180-200
Silverbeet,Vegetable,Sep-Apr,Sep-Apr,Sep-May,Sep-May,Jan-Dec,Mar-Sep,10,60,20-35,H,R/D,10-20,50-90
Spinach,Vegetable,Feb-Nov,Feb-Nov,Feb-Sep,Feb-Sep,Mar-Jul,Apr-Jun,8,40-50,25-35,H,D,10-25,50-70
Squash,Vegetable,Sep-Dec,Sep-Dec,Sep-Jan,Sep-Jan,Aug-Feb,Feb-Nov,15-25,90-100,60-100,FT,D,6-18,50-90
Swede,Vegetable,"Sep-Nov,Jan-Apr","Sep-Nov,Jan-Apr",Jan-Apr,Jan-Apr,Jan-May,Feb-Apr,10,30-50,10-20,H,D,6-12,70-90
Tomato,Vegetable,Sep-Dec,Sep-Dec,Aug-Dec,Aug-Dec,Aug-Mar,Feb-Jul,5,50-70,40-60,FT,R/D,10-20,80-120
Turnip,Vegetable,Sep-May,Sep-May,Sep-May,Sep-May,Aug-May,Mar-Jun,10,20-40,7-15,H,D,6-12,50-90
Watermelon,Vegetable,Sep-Dec,Sep-Dec,Aug-Dec,Aug-Dec,Aug-Jan,Feb-Nov,15-20,150-180,60-80,FT,D,6-18,70-120
Zucchini,Vegetable,Sep-Dec,Sep-Dec,Sep-Jan,Sep-Jan,Aug-Feb,Feb-Sep,15-20,80-120,50-80,FT,D,6-12,50-100
Anise,Herb,Sep-Feb,Sep-Feb,Sep-Feb,Sep-Feb,Sep-Feb,Sep-Feb,6,,30,HH,R,7-14,
Basil,Herb,Sep-Feb,Sep-Feb,Sep-Dec,Sep-Dec,Aug-Feb,Jan-Dec,3,,25-40,FT,R/D,7-14,
Bergamot,Herb,Oct-Mar,Oct-Mar,Sep-Apr,Sep-Apr,Apr-Sep,Apr-Sep,3,,30,H,R,7-21,
Borage,Herb,Sep-Jan,Sep-Jan,Aug-Feb,Aug-Feb,Feb-Nov,Apr-Sep,10,,30,H,R/D,14-21,
Burnet,Herb,Sep-Apr,Sep-Apr,"Mar-Apr,Oct-Dec","Mar-Apr,Oct-Dec",Feb-Oct,Mar-Sep,8,,30,H,R/D,14-28,
Caraway,Herb,"Feb-Apr,Sep-Nov","Feb-Apr,Sep-Nov","Mar-May,Aug-Nov","Mar-May,Aug-Nov",Feb-Nov,Mar-Oct,10,,25,H,D,10-20,
Catnip,Herb,Oct-Mar,Oct-Mar,Sep-Apr,Sep-Apr,Apr-Sep,Apr-Sep,5,,60,H,R,7-21,
Chamomile,Herb,Sep-Dec,Sep-Dec,Jul-Nov,Jul-Nov,Mar-Oct,Aug-Sep,1,,10-40,H,R/D,14-21,
Chervil,Herb,Sep-Mar,Sep-Mar,Aug-Apr,Aug-Apr,Mar-Sep,Aug-Sep,6-10,,30,H,D,14-21,
Chives,Herb,Oct-Mar,Oct-Mar,Sep-Mar,Sep-Mar,Jan-Dec,Jan-Dec,5,,3-20,H,D,14-21,
Coriander,Herb,Sep-Dec,Sep-Dec,"Mar-Apr,Aug-Nov","Mar-Apr,Aug-Nov",Mar-Oct,Mar-Oct,6,,20,H,D,14-21,
Cress,Herb,Jan-Dec,Jan-Dec,Jan-Dec,Jan-Dec,Jan-Dec,Jan-Dec,4,,15,H,D,6-12,
Cumin,Herb,Sep-Nov,Sep-Nov,Sep-Nov,Sep-Nov,Sep-Nov,Sep-Nov,5,,20,HH,D/R,5-14,
Dill,Herb,Sep-Jan,Sep-Jan,Aug-Apr,Aug-Apr,Mar-Oct,Apr-Sep,2-4,,20,H,D,14-21,
Echinacea,Herb,Sep-Dec,Sep-Dec,Sep-Jan,Sep-Jan,"Sep-Nov,Mar-May","Sep-Nov,Mar-May",6,,50,H,R/D,14-28,
Evening Primrose,Herb,Oct-Apr,Oct-Apr,Sep-Apr,Sep-Apr,Apr-Sep,Apr-Sep,1,,30,H,R,21-28,
Fenugreek,Herb,Mar-Nov,Mar-Nov,Mar-Nov,Mar-Nov,Mar-Nov,Mar-Nov,10,,40,H,D,4-14,
